show_id,cast_id
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
9,71
9,72
9,73
9,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,84
10,85
12,86
12,87
12,88
12,89
12,90
12,91
12,92
12,93
12,94
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,103
12,104
12,105
12,106
12,107
12,108
12,109
12,110
13,111
13,112
13,113
13,114
13,115
13,116
13,117
13,118
13,119
13,120
13,121
14,122
14,123
14,124
14,125
14,126
14,127
14,128
14,129
14,130
14,131
16,132
16,133
16,134
16,135
16,136
16,137
16,138
16,139
18,140
18,141
18,142
18,143
18,144
18,145
18,146
18,147
18,148
18,149
18,150
18,151
19,152
19,153
19,154
19,155
19,156
19,157
19,158
19,159
19,160
19,161
20,162
20,163
20,164
20,165
20,166
20,167
20,168
20,169
22,170
22,171
22,172
22,173
22,174
22,175
22,176
22,177
22,178
22,179
23,180
23,181
23,182
23,183
23,184
23,185
24,186
24,187
24,188
24,189
25,190
25,191
25,192
25,184
26,193
27,194
27,195
27,196
27,184
27,185
27,197
28,198
28,199
28,200
28,201
28,202
28,203
28,204
28,205
28,206
28,207
28,208
29,209
29,210
29,211
29,212
29,213
29,214
29,215
29,216
29,217
29,218
30,219
30,220
30,221
30,222
30,223
30,224
30,225
30,226
30,227
30,228
31,229
31,230
31,231
31,232
31,233
31,234
31,235
32,236
32,237
32,238
32,239
32,240
32,241
32,242
32,243
32,244
32,245
32,246
33,247
33,248
33,249
33,250
33,251
33,252
33,253
34,254
34,255
34,256
34,257
34,258
34,259
34,260
34,261
34,262
34,263
35,264
35,265
35,266
35,267
35,268
36,269
36,270
36,271
36,272
36,273
36,274
36,275
36,276
36,277
36,278
37,279
37,280
37,281
37,282
37,283
37,284
37,285
37,286
37,287
37,288
38,289
38,290
38,291
38,292
38,293
39,294
39,295
39,296
39,297
39,298
39,299
39,300
39,301
39,302
40,303
40,304
40,305
40,306
40,307
40,308
40,309
41,310
41,311
41,312
41,313
41,314
41,315
41,316
41,317
41,318
41,319
41,320
42,321
42,322
42,227
42,323
42,324
42,325
42,326
42,327
42,328
42,329
43,321
43,323
43,324
43,330
43,326
43,331
43,332
43,333
43,334
43,335
44,336
44,337
44,338
44,339
44,340
44,341
44,342
44,343
44,344
44,345
45,323
45,346
45,347
45,348
45,349
45,350
45,351
45,352
47,353
47,354
47,355
47,356
47,357
47,358
47,359
47,360
47,361
47,362
48,363
48,364
48,365
48,366
48,367
48,368
48,369
48,370
48,371
48,372
49,353
49,373
49,374
49,375
49,376
49,377
49,378
49,379
49,380
49,381
49,382
50,383
50,384
50,385
50,386
50,387
50,388
50,389
50,390
50,391
50,392
50,393
50,394
50,395
50,396
51,397
51,398
51,399
51,400
51,401
51,402
51,403
51,404
51,405
52,406
52,407
52,408
52,409
52,410
52,411
52,412
52,413
52,414
52,415
53,406
53,407
53,409
53,410
53,411
53,416
53,417
53,418
54,406
54,407
54,409
54,410
54,411
54,412
54,416
54,419
54,420
54,421
55,406
55,407
55,409
55,410
55,411
55,413
55,412
55,422
55,416
55,423
56,424
56,425
57,426
57,427
57,428
57,429
57,430
57,431
57,432
57,433
57,434
57,435
58,426
58,427
58,436
58,437
58,438
58,429
58,428
58,439
58,440
58,441
58,442
59,426
59,427
59,429
59,441
59,439
59,443
59,444
59,445
59,440
59,442
59,446
59,447
59,448
60,426
60,427
60,446
60,447
60,449
60,450
60,451
60,452
60,453
60,454
60,455
60,456
60,457
60,435
60,458
60,459
60,429
60,439
60,460
60,461
60,462
61,426
61,427
61,441
61,428
61,463
61,464
61,458
61,465
61,466
61,467
61,468
61,469
61,470
61,414
62,426
62,471
62,427
62,439
62,472
62,473
62,474
62,475
62,410
62,476
63,426
63,427
63,446
63,429
63,417
63,477
63,478
63,479
63,480
63,481
64,426
64,436
64,427
64,429
64,482
64,483
64,484
64,485
64,486
64,487
65,488
65,489
65,490
66,491
66,492
66,493
66,494
68,495
68,496
68,497
68,498
68,499
68,500
68,501
69,502
71,503
72,504
72,505
72,506
72,320
72,507
72,508
72,509
72,510
72,511
73,512
73,513
74,514
74,515
74,516
74,517
74,366
74,518
74,519
74,520
76,521
76,522
77,523
77,445
77,524
77,525
77,439
77,443
77,451
77,526
77,527
77,528
77,529
77,530
77,531
77,454
77,441
77,532
77,533
77,534
77,535
77,536
77,537
77,432
77,538
77,539
77,461
77,540
77,541
78,542
78,543
78,544
78,545
78,546
78,547
78,548
78,549
79,550
79,551
79,552
80,550
80,551
80,552
81,553
81,554
81,555
81,556
81,557
81,558
81,559
82,560
82,561
82,562
82,563
82,564
82,565
82,566
83,567
83,568
83,569
83,570
83,571
83,572
83,573
83,574
83,575
83,576
83,577
83,578
83,579
84,580
85,581
85,582
85,583
85,584
85,386
85,387
85,585
85,586
85,587
85,588
86,589
86,590
86,591
86,592
86,593
86,594
86,595
86,596
86,597
86,598
87,599
87,600
87,601
87,602
87,603
87,604
87,605
87,606
88,607
88,608
88,609
88,610
88,611
89,612
89,613
90,304
90,614
90,306
90,305
90,615
90,616
90,307
91,617
91,618
91,619
91,620
91,621
91,622
91,623
91,624
93,625
93,626
93,627
93,628
93,629
93,630
93,631
93,632
93,633
93,634
93,635
94,636
94,637
94,638
94,639
94,640
94,641
94,642
94,643
94,644
94,645
95,646
95,647
95,648
95,649
95,650
95,651
95,652
95,653
95,654
95,655
95,656
95,657
96,658
97,659
97,660
97,661
97,662
97,663
97,664
97,665
97,666
97,667
97,668
98,669
98,317
98,670
98,671
98,672
98,315
98,673
99,674
99,675
99,676
99,494
99,677
99,678
99,679
99,680
99,681
99,682
99,683
99,684
99,685
100,686
100,687
100,688
100,689
100,690
100,691
100,692
100,693
101,694
101,695
101,696
101,697
101,698
101,699
101,700
101,701
101,702
104,519
104,703
104,704
104,514
104,705
104,706
104,707
104,708
104,709
104,710
104,711
104,712
104,713
104,714
105,715
105,716
106,717
106,718
106,719
106,720
106,721
106,722
106,723
106,724
106,725
106,726
106,727
107,728
107,729
107,730
107,731
107,732
107,733
107,734
108,735
108,736
108,737
108,738
108,739
108,740
109,741
109,742
109,743
109,744
109,745
109,746
109,747
109,748
110,749
110,750
110,751
110,752
110,753
110,754
110,755
110,756
110,757
110,758
110,759
110,760
110,761
112,762
112,763
112,315
112,764
112,765
112,318
112,766
113,767
113,649
113,768
113,769
113,770
113,771
113,772
113,773
114,774
114,775
114,776
114,777
114,778
114,779
114,780
114,781
115,782
115,783
115,784
115,785
115,786
115,787
115,788
115,789
115,790
116,791
116,792
116,793
116,794
116,795
116,553
116,796
116,797
116,798
116,799
117,800
117,801
117,802
117,803
117,804
117,805
117,806
117,807
119,808
119,809
119,810
119,811
119,812
119,813
120,814
120,815
120,816
120,817
120,818
121,819
121,820
121,821
121,822
122,823
122,824
122,825
122,826
122,827
122,828
122,829
122,830
122,831
122,832
122,833
122,834
122,835
123,836
123,837
123,838
123,839
123,840
123,841
123,842
123,843
126,844
126,845
126,846
126,847
126,848
126,849
126,850
127,851
127,852
127,853
127,854
127,855
127,856
127,857
127,858
128,859
128,860
128,861
128,862
128,863
128,864
128,865
128,866
128,867
128,868
128,869
128,870
128,871
128,872
128,873
129,874
129,875
129,876
129,248
129,877
129,878
129,879
129,880
129,881
129,882
130,883
130,884
130,885
130,886
130,887
130,888
130,889
130,890
130,891
130,892
131,893
131,894
131,895
131,896
131,897
132,222
132,898
132,899
132,900
132,901
132,902
132,903
132,904
132,905
132,906
132,907
132,908
133,909
133,910
133,911
133,912
133,913
133,914
133,915
133,916
133,917
133,918
133,919
133,920
133,921
133,922
133,923
134,924
134,925
134,926
134,927
134,928
134,929
134,930
134,931
134,932
134,933
135,222
135,934
135,935
135,936
135,937
135,376
135,938
135,939
135,940
135,941
135,942
135,943
135,944
136,945
136,946
136,947
136,948
136,949
136,950
136,951
136,952
136,953
136,954
136,955
137,956
137,957
137,958
137,959
137,356
137,960
137,961
137,693
137,962
137,963
138,964
138,965
138,966
138,967
138,968
138,969
138,970
138,971
138,972
138,869
138,973
138,974
138,975
138,976
139,977
139,978
139,979
139,40
